quiz_id,question_id,question,choice_a,choice_b,choice_c,choice_d,correct,topic
c-interview-questions-answers,1,Who is the father of C language?,a) Steve Jobs,b) James Gosling,c) Dennis Ritchie,d) Rasmus Lerdorf,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,2,Which of the following is not a valid C variable name?,a) int number;,b) float rate;,c) int variable_count;,d) int $main;,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,3,All keywords in C are in ____________,a) LowerCase letters,b) UpperCase letters,c) CamelCase letters,d) None of the mentioned,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,4,Which of the following is true for variable names in C?,a) They can contain alphanumeric characters as well as special characters,"b) It is not an error to declare a variable to be one of the keywords(like goto, static)",c) Variable names cannot start with a digit,d) Variable can be of any length,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,5,Which is valid C expression?,"a) int my_num = 100,000;",b) int my_num = 100000;,c) int my num = 1000;,d) int $my_num = 10000;,b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,6,Which of the following cannot be a variable name in C?,a) volatile,b) true,c) friend,d) export,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,7,What is short int in C programming?,a) The basic data type of C,b) Qualifier,c) Short is the qualifier and int is the basic data type,d) All of the mentioned,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,8,Which of the following declaration is not supported by C language?,a) String str;,b) char *str;,c) float str = 3e2;,d) Both “String str;” and “float str = 3e2;”,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,9,Which keyword is used to prevent any changes in the variable within a C program?,a) immutable,b) mutable,c) const,d) volatile,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,10,What is the result of logical or relational expression in C?,a) True or False,b) 0 or 1,c) 0 if an expression is false and any positive number if an expression is true,d) None of the mentioned,b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,11,Which of the following typecasting is accepted by C language?,a) Widening conversions,b) Narrowing conversions,c) Widening & Narrowing conversions,d) None of the mentioned,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,12,Where in C the order of precedence of operators do not exist?,"a) Within conditional statements, if, else","b) Within while, do-while",c) Within a macro definition,d) None of the mentioned,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,13,Which of the following is NOT possible with any 2 operators in C?,"a) Different precedence, same associativity","b) Different precedence, different associativity","c) Same precedence, different associativity",d) All of the mentioned,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,14,What is an example of iteration in C?,a) for,b) while,c) do-while,d) all of the mentioned,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,15,Functions can return enumeration constants in C?,a) true,b) false,c) depends on the compiler,d) depends on the standard,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,16,Functions in C Language are always _________,a) Internal,b) External,c) Both Internal and External,d) External and Internal are not valid terms for functions,b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,17,Which of following is not accepted in C?,a) static a = 10; //static as,b) static int func (int); //parameter as static,c) static static int a; //a static variable prefixed with static,d) all of the mentioned,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,18,Property which allows to produce different executable for different platforms in C is called?,a) File inclusion,b) Selective inclusion,c) Conditional compilation,d) Recursive macros,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,19,What is #include <stdio.h>?,a) Preprocessor directive,b) Inclusion directive,c) File inclusion directive,d) None of the mentioned,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,20,C preprocessors can have compiler specific features.,a) True,b) False,c) Depends on the standard,d) Depends on the platform,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,21,Which of the following are C preprocessors?,a) #ifdef,b) #define,c) #endif,d) all of the mentioned,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,22,The C-preprocessors are specified with _________ symbol.,a) #,b) $,c) ” ”,d) &,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,23,How is search done in #include and #include “somelibrary.h” according to C standard?,"a) When former is used, current directory is searched and when latter is used, standard directory is searched","b) When former is used, standard directory is searched and when latter is used, current directory is searched","c) When former is used, search is done in implementation defined manner and when latter is used, current directory is searched","d) For both, search for ‘somelibrary’ is done in implementation-defined places",b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,24,How many number of pointer (*) does C have against a pointer variable declaration?,a) 7,b) 127,c) 255,d) No limits,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,25,Which of the following is not possible statically in C language?,a) Jagged Array,b) Rectangular Array,c) Cuboidal Array,d) Multidimensional Array,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,26,Which of the following return-type cannot be used for a function in C?,a) char *,b) struct,c) void,d) none of the mentioned,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,27,The standard header _______ is used for variable list arguments (…) in C.,a) <stdio.h >,b) <stdlib.h>,c) <math.h>,d) <stdarg.h>,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,28,"When a C program is started, O.S environment is responsible for opening file and providing pointer for that file?",a) Standard input,b) Standard output,c) Standard error,d) All of the mentioned,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,29,"In C language, FILE is of which data type?",a) int,b) char *,c) struct,d) None of the mentioned,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,30,What is the sizeof(char) in a 32-bit C compiler?,a) 1 bit,b) 2 bits,c) 1 Byte,d) 2 Bytes,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,31,Which of the following is not an operator in C?,"a) ,",b) sizeof(),c) ~,d) None of the mentioned,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,32,scanf() is a predefined function in______header file.,a) stdlib. h,b) ctype. h,c) stdio. h,d) stdarg. h,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,33,"What is meant by ‘a’ in the following C operation? fp = fopen ( ""Random.txt"" , ""a"" ) ;",a) Attach,b) Append,c) Apprehend,d) Add,b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,34,"What will be the output of the following C code? #include <stdio.h> int main ( ) { int y = 10000 ; int y = 34 ; printf ( ""Hello World! %d \n "" , y ) ; return 0 ; }",a) Compile time error,b) Hello World! 34,c) Hello World! 1000,d) Hello World! followed by a junk value,a,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,35,"What will happen if the following C code is executed? #include <stdio.h> int main ( ) { int main = 3 ; printf ( ""%d"" , main ) ; return 0 ; }",a) It will cause a compile-time error,b) It will cause a run-time error,c) It will run without any error and prints 3,d) It will experience infinite looping,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,36,"What will be the output of the following C code? #include <stdio.h> int main ( ) { signed char chr ; chr = 128 ; printf ( ""%d \n "" , chr ) ; return 0 ; }",a) 128,b) -128,c) Depends on the compiler,d) None of the mentioned,b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,37,"What will be the output of the following C code on a 64 bit machine? #include <stdio.h> union Sti { int nu ; char m ; } ; int main ( ) { union Sti s ; printf ( ""%d"" , sizeof ( s ) ) ; return 0 ; }",a) 8,b) 5,c) 9,d) 4,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,38,"What will be the output of the following C function? #include <stdio.h> enum birds { SPARROW , PEACOCK , PARROT } ; enum animals { TIGER = 8 , LION , RABBIT , ZEBRA } ; int main ( ) { enum birds m = TIGER ; int k ; k = m ; printf ( ""%d \n "" , k ) ; return 0 ; }",a) 0,b) Compile time error,c) 1,d) 8,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,39,"What will be the output of the following C code? #include <stdio.h> int const print ( ) { printf ( ""Sanfoundry.com"" ) ; return 0 ; } void main ( ) { print ( ) ; }",a) Error because function name cannot be preceded by const,b) Sanfoundry.com,c) Sanfoundry.com is printed infinite times,"d) Blank screen, no output",b,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,40,Will the following C code compile without any error? #include <stdio.h> int main ( ) { for ( int k = 0 ; k < 10 ; k ++ ) ; return 0 ; },a) Yes,b) No,c) Depends on the C standard implemented by compilers,d) Error,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,41,What will be the final value of x in the following C code? #include <stdio.h> void main ( ) { int x = 5 * 9 / 3 + 9 ; },a) 3.75,b) Depends on compiler,c) 24,d) 3,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,42,"What will be the output of the following C code? (Initial values: x= 7, y = 8) #include <stdio.h> void main ( ) { float x ; int y ; printf ( ""enter two numbers \n "" ) ; scanf ( ""%f %f"" , & x , & y ) ; printf ( ""%f, %d"" , x , y ) ; }","a) 7.000000, 7",b) Run time error,"c) 7.000000, junk",d) Varies,c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,43,"What will be the output of the following C code considering the size of a short int is 2, char is 1 and int is 4 bytes? #include <stdio.h> int main ( ) { short int i = 20 ; char c = 97 ; printf ( ""%d, %d, %d \n "" , sizeof ( i ) , sizeof ( c ) , sizeof ( c + i ) ) ; return 0 ; }","a) 2, 1, 2","b) 2, 1, 1","c) 2, 1, 4","d) 2, 2, 8",c,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,44,"What is the difference between the following 2 C codes? #include <stdio.h> //Program 1 int main ( ) { int d , a = 1 , b = 2 ; d = a ++ + ++ b ; printf ( ""%d %d %d"" , d , a , b ) ; } #include <stdio.h> //Program 2 int main ( ) { int d , a = 1 , b = 2 ; d = a ++ +++ b ; printf ( ""%d %d %d"" , d , a , b ) ; }","a) No difference as space doesn’t make any difference, values of a, b, d are same in both the case","b) Space does make a difference, values of a, b, d are different","c) Program 1 has syntax error, program 2 is not","d) Program 2 has syntax error, program 1 is not",d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,45,What will be the output of the following C code snippet? #include <stdio.h> void main ( ) { 1 < 2 ? return 1 : return 2 ; },a) returns 1,b) returns 2,c) Varies,d) Compile time error,d,C MCQ (Multiple Choice Questions) - Sanfoundry
c-interview-questions-answers,46,What will be the value of the following assignment expression? (x = foo())!= 1 considering foo() returns 2,a) 2,b) True,c) 1,d) 0,c,C MCQ (Multiple Choice Questions) - Sanfoundry
