quiz_id,question_id,question,choice_a,choice_b,choice_c,choice_d,correct,topic
aptitude-questions-answers-probability,1,Which of the following options is correct with respect to the probability of an event A?,a) P(A) > 1,b) P(A) < 0,c) 0 ≤ P(A) ≤ 1,d) P(A) = – 1,c,Probability
aptitude-questions-answers-probability,2,Which of the following options is incorrect with respect to an event A?,a) P (A) + P (,b) 0 ≤ P (A) ≤ 1,c) P(ɸ) = 0,d) P(A) > 1,d,Probability
aptitude-questions-answers-probability,3,What are the events called which can never occur together according to the probability theory?,a) Collectively exclusive events,b) Mutually exclusive events,c) Mutually exhaustive events,d) Collectively exhaustive events,b,Probability
aptitude-questions-answers-probability,4,What is the term used for all possible outcomes for a random experiment?,a) Event space,b) Sample space,c) Marginal space,d) Exclusive space,a,Probability
aptitude-questions-answers-probability,5,Which of the following terms explains the probability of an event irrespective of the outcome of another variable?,a) Cumulative probability,b) Conditional probability,c) Marginal probability,d) Individual probability,c,Probability
aptitude-questions-answers-probability,6,What will be the marginal probability of dependent and independent events?,a) Zero,b) One,c) Different,d) Same,d,Probability
aptitude-questions-answers-probability,7,What is the probability of non – occurrence of an event Q?,a) Complement of Q,b) Union of Q,c) Intersection of Q,d) Q > 1,a,Probability
aptitude-questions-answers-probability,8,What will be the joint probability of two independent events M and N?,a) P(M) + P(N),b) P(M) * P(N) + P(M * N),c) P(M) * P(N),d) P(M) + P(N) – P(M * N),c,Probability
aptitude-questions-answers-probability,9,Which of the following is a condition for binomial distribution in probability?,a) Must have at least 4 trials,b) Only two possible outcomes,c) Trials must be dependent,d) More two possible outcomes,b,Probability
aptitude-questions-answers-probability,10,In which of the following events the rule of addition of probability is used?,a) Mutually exclusive events,b) Dependent events,c) Empirical events,d) Exhaustive events,a,Probability
aptitude-questions-answers-probability-set-2,1,What is the probability that a number selected at random from 1 to 15 is a multiple of 3?,a) 2 / 5,b) 3 / 5,c) 1 / 3,d) 2 / 3,c,Probability – Set 2
aptitude-questions-answers-probability-set-2,2,"If the probability of an event is Q, then what will be the probability of its complementary event?",a) 1 – P,b) P – 1,c) 1 – 1 / P,d) P,a,Probability – Set 2
aptitude-questions-answers-probability-set-2,3,What is the probability of having 53 Tuesdays in a non – leap year?,a) 5 / 7,b) 1 / 7,c) 2 / 7,d) 3 / 7,b,Probability – Set 2
aptitude-questions-answers-probability-set-2,4,Hundred balls are numbered from 1 to 100. What is the probability of getting a ball having a prime number?,a) 1 / 4,b) 3 / 4,c) 2 / 3,d) 1 / 5,a,Probability – Set 2
aptitude-questions-answers-probability-set-2,5,"A bag contains 10 red cards and some yellow cards. If the probability of getting yellow cards is thrice the probability of getting a red card, then what is the number of yellow cards?",a) 25,b) 20,c) 30,d) 15,c,Probability – Set 2
aptitude-questions-answers-probability-set-2,6,A box contains 1000 pens of which 25 are defective. What is the probability of drawing a defective pen from the box?,a) 1 / 8,b) 1 / 12,c) 1 / 4,d) 1 / 40,d,Probability – Set 2
aptitude-questions-answers-probability-set-2,7,"Cards marked with numbers 1 to 100 are placed in a box. One card is drawn from this box randomly, then what is the probability that the number on the card is a perfect square?",a) 1 / 10,b) 1 / 20,c) 1 / 15,d) 1 / 5,a,Probability – Set 2
aptitude-questions-answers-probability-set-2,8,"A number is selected at random from the first fifty natural numbers. What is the probability that the number is divisible by 2, 3 and 4?",a) 4 / 25,b) 1 / 25,c) 2 / 25,d) 3 / 25,c,Probability – Set 2
aptitude-questions-answers-probability-set-2,9,"A jar has 48 marbles of which few are black and others are red. If the probability of getting a black marble is \(\frac {3}{4}\), then what will be the number of red marbles?",a) 10,b) 12,c) 14,d) 15,b,Probability – Set 2
aptitude-questions-answers-probability-set-2,10,What is the probability of getting 53 Wednesdays in a leap year?,a) 2 / 7,b) 1 / 7,c) 3 / 7,d) 4 / 7,a,Probability – Set 2
